,carat,cut,color,clarity,depth,table,x,y,z
0,1.01,4,4,3.0,62.7,58.0,6.36,6.31,3.97
1,0.6,2,4,2.5,64.3,57.0,5.31,5.38,3.43
2,1.6,4,3,1.5,59.4,59.0,7.55,7.6,4.5
3,0.3,3,1,3.0,63.5,58.0,4.27,4.24,2.7
4,1.0,3,5,1.5,62.8,57.0,6.37,6.44,4.02
5,0.53,5,6,2.5,61.9,55.0,5.19,5.22,3.22
6,0.31,5,4,5.0,61.9,53.0,4.36,4.39,2.71
7,1.0,4,1,2.5,60.3,58.0,6.49,6.44,3.9
8,1.01,3,5,3.0,59.9,59.0,6.52,6.57,3.92
9,1.22,5,1,3.0,60.8,57.0,6.85,6.89,4.18
10,0.39,3,4,2.0,61.7,57.0,4.77,4.7,2.92
11,1.64,2,2,2.0,57.9,61.0,7.78,7.74,4.49
12,0.7,4,5,2.0,62.1,59.0,5.68,5.72,3.54
13,0.36,5,4,3.5,61.8,54.0,4.59,4.61,2.84
14,1.19,4,2,2.0,62.2,58.0,6.73,6.77,4.2
15,0.56,4,6,3.5,59.2,56.0,5.49,5.39,3.22
16,0.56,5,4,2.5,61.2,56.0,5.29,5.33,3.25
17,0.77,3,3,3.0,63.3,57.0,5.79,5.83,3.68
18,1.21,4,4,2.5,62.2,60.0,6.79,6.75,4.21
19,0.71,2,1,3.0,63.3,55.0,5.62,5.66,3.57
20,0.9,3,4,2.0,63.0,57.0,6.13,6.19,3.88
21,1.05,5,4,5.0,62.5,56.0,6.48,6.52,4.06
22,0.4,4,6,3.0,60.5,61.0,4.74,4.72,2.86
23,0.31,4,2,3.5,62.2,57.0,4.37,4.34,2.71
24,1.0,4,6,3.0,63.0,60.0,6.38,6.32,4.0
25,2.01,3,3,1.5,63.4,57.0,8.0,7.93,5.05
26,1.68,5,3,2.0,61.9,56.0,7.63,7.72,4.75
27,0.27,5,4,5.0,61.6,57.0,4.18,4.21,2.58
28,0.25,3,6,3.5,62.2,58.0,4.03,4.11,2.53
29,0.56,5,4,2.5,61.9,55.0,5.28,5.32,3.28
30,0.4,5,1,3.0,62.2,54.3,4.73,4.75,2.95
31,0.57,5,6,3.5,62.1,54.6,5.31,5.35,3.31
32,0.84,3,6,2.0,63.4,55.0,6.0,5.95,3.79
33,0.77,3,3,3.0,62.8,58.0,5.75,5.78,3.62
34,0.33,4,6,4.0,59.7,58.0,4.52,4.49,2.69
35,1.52,5,4,4.0,62.4,55.0,7.39,7.3,4.58
36,0.3,4,4,3.0,60.0,60.0,4.3,4.33,2.59
37,2.13,4,2,1.5,59.8,58.0,8.43,8.37,5.02
38,1.5,2,3,2.0,64.9,57.0,7.08,7.15,4.62
39,0.41,4,4,2.5,62.9,59.0,4.75,4.7,2.97
40,1.02,2,1,1.5,63.4,56.0,6.36,6.42,4.05
41,0.38,3,3,4.0,60.0,57.0,4.75,4.79,2.86
42,0.7,5,4,2.0,60.7,55.0,5.76,5.8,3.51
43,0.91,5,2,3.0,62.1,57.0,6.2,6.23,3.86
44,0.37,3,4,3.0,58.4,59.0,4.76,4.69,2.76
45,2.28,2,1,1.5,63.6,57.0,8.37,8.32,5.31
46,1.01,4,4,3.0,60.7,58.0,6.49,6.52,3.95
47,2.56,5,1,2.0,61.4,58.0,8.73,8.76,5.37
48,0.3,4,7,2.0,62.6,59.0,4.27,4.23,2.66
49,0.33,3,4,3.0,60.8,57.0,4.5,4.51,2.74
50,2.03,4,1,1.5,62.7,59.0,8.02,8.08,5.05
51,0.3,4,7,2.0,63.0,58.0,4.27,4.24,2.68
52,0.5,5,5,3.5,60.5,56.0,5.15,5.09,3.1
53,0.7,3,4,2.0,60.7,58.0,5.7,5.73,3.47
54,0.5,5,4,5.0,61.5,56.0,5.11,5.14,3.15
55,0.31,5,6,2.5,61.8,56.0,4.34,4.36,2.69
56,0.4,4,3,3.0,62.6,58.0,4.66,4.73,2.94
57,0.5,2,5,2.0,57.9,62.0,5.18,5.21,3.01
58,2.01,4,2,3.0,61.5,62.0,8.07,7.94,4.92
59,1.12,4,4,3.0,58.4,58.0,6.87,6.84,4.0
